Artist,Title,Album,Year,Lyrics,Lyrics Link,pos,neu,neg,opp neg,final score
Elliott Smith,Happiness,Others,2000,"activity's killing the actor. and the cop's standing out in the road. turning traffic away. there was nothing she could do until after. when his body'd been buried below. way back in the day. oh my, nothing else could have been done. he made his life a lie so. he might never have to know anyone. made his life a lie you know. i told him that he shouldn't upset her. and that he'd only be making it worse. involving somebody else. but i knew that he'd never forget her. while her memory worked in reverse. to keep her safe from herself. and oh my, nothing else could have been done. she made her life a lie so. she might never have to know anyone. made her life a lie you know. what i used to be will pass away and then you'll see. that all i want now is happiness for you and me. what i used to be will pass away and then you'll see. that all i want now is happiness for you and me. what i used to be will pass away and then you'll see. that all i want now is happiness for you and me",https://genius.com/Elliott-smith-happiness-lyrics,0.119,0.85,0.031,0.969,0.544
Elliott Smith,Between the Bars,Either/Or,1997,"drink up, baby, stay up all night. with the things you could do, you won't but you might. the potential you'll be, that you'll never see. the promises you'll only make. drink up with me now and forget all about. the pressure of days, do what i say. and i'll make you okay and drive them away. the images stuck in your head. . people you've been before that you. don't want around anymore. that push and shove and won't bend to your will. i'll keep them still. . drink up, baby, look at the stars. i'll kiss you again, between the bars. where i'm seeing you there, with your hands in the air. waiting to finally be caught. drink up one more time and i'll make you mine. keep you apart, deep in my heart. separate from the rest, where i like you the best. and keep the things you forgot. . people you've been before that you. don't want around anymore. that push and shove and won't bend to your will. i'll keep them still",https://genius.com/Elliott-smith-between-the-bars-lyrics,0.079,0.852,0.069,0.931,0.505
Elliott Smith,Say Yes,Either/Or,1997,"i'm in love with the world through the eyes of a girl. who's still around the morning after. we broke up a month ago and i grew up i didn't know. i'd be around the morning after. it's always been wait and see. a happy day and then you pay. and feel like shit the morning after. but now i feel changed around and instead of falling down. i'm standing up the morning after. situations get fucked up and turned around sooner or later. and i could be another fool or an exception to the rule. you tell me the morning after. crooked spin can't come to rest. i'm damaged bad at best. she'll decide what she wants. i'll probably be the last to know. no one says until it shows, see how it is. they want you or they don't. say yes. i'm in love with the world through the eyes of a girl. who's still around the morning after",https://genius.com/Elliott-smith-say-yes-lyrics,0.105,0.728,0.167,0.833,0.469
Elliott Smith,Angeles,Either/Or,1997,"someone's always coming around here, trailing some new kill. says, ""i've seen your picture on a hundred dollar bill."". what's a game of chance to you, to him is one of real skill. . so glad to meet you. angeles. . picking up the ticket shows there's money to be made. go on, lose the gamble that's the history of the trade. did you add up all the cards left to play to zero. . and sign up with evil. angeles?. don't start me trying now. uh-huh, uh-huh, uh-huh. 'cause i'm all over it, angeles. . i can make you satisfied in everything you do. all your secret wishes could right now be coming true. and be forever with my poison arms around you. . no one's gonna fool around with us. no one's gonna fool around with us. so glad to meet you. angeles",https://genius.com/Elliott-smith-angeles-lyrics,0.116,0.731,0.153,0.847,0.4815
Elliott Smith,Ballad of Big Nothing,Either/Or,1998,"throwing candy out to the crowd. dragging down the main. the helpless little thing with the dirty mouth. who's always got something to say. you're sitting around at home now waiting for your brother to call. i saw him down in the alley, having had enough of it all. . said, ""you can do what you want to whenever you want to. you can do what you want to, there's no one to stop you."". . all spit and spite, you're up all night and down every day. a tired man with only hours to go just waiting to be taken away. getting into the back of a car for candy from some stranger. watching the parade with pinpoint eyes full of smoldering anger. . you can do what you want to whenever you want to. you can do what you want to there's no one to stop you. now, you can do what you want to whenever you want to (oh yeah). do what you want to whenever you want to (oh yeah). do what you want to whenever you want to. though it doesn't mean a thing. big nothing",https://genius.com/Elliott-smith-ballad-of-big-nothing-lyrics,0.077,0.802,0.121,0.879,0.478
Elliott Smith,Alameda,Either/Or,1997,"you walk down alameda. shuffling your deck of trick cards over everyone. like some precious only son. face down, bow to the champion. . you walk down alameda. looking at the cracks in the sidewalk. thinking about your friends. how you maintain all them in a constant state of suspense. . for your own protection over their affection. nobody broke your heart. you broke your own 'cause you can't finish what you start. . walk down alameda. brushing off the nightmares you wish could plague me when i'm awake. so now you see your first mistake was thinking that you could relate. for one or two minutes she liked you. but the fix is in. . . you're all pretension, i never pay attention. nobody broke your heart. you broke your own because you can't finish what you start. nobody broke your heart. you broke your own because you can't finish what you start. nobody broke your heart. you broke your own because you can't finish what you start. nobody broke your heart. if you're alone, it must be you that wants to be apart",https://genius.com/Elliott-smith-alameda-lyrics,0.077,0.756,0.167,0.833,0.455
Elliott Smith,Speed Trials,Either/Or,1996,"he's pleased to meet you underneath the horse. in the cathedral with the glass stained black. singing sweet, high notes that echo back. to destroy their master. may be a long time 'til you get the call-up. but it's sure as fate and hard as your luck. no one'll know where you are. . it's just a brief smile crossing your face. i'm running speed trials standing in place. . when the socket's not a shock enough. you little child, what makes you think you're tough?. when all the people you think you're above. they all know what's the matter. you're such a pinball, yeah, you know it's true. there's always something you go back running to. to follow the path of no resistance. . it's just a brief smile crossing your face. i'm running speed trials standing in place. it's just a brief smile crossing your face. i'm running speed trials all over the place. . ooh, ooh. ooh, ooh. ooh, ooh",https://genius.com/Elliott-smith-speed-trials-lyrics,0.174,0.773,0.053,0.947,0.5605
Elliott Smith,0.114583333,Either/Or,1997,"i'm going out sleepwalking. where mute memories start talking. the boss that couldn't help but hurt you. and the pretty thing he made desert you. i'm going out like a baby. a naive, unsatisfiable baby. grabbing onto whatever's around. for the soaring high or the crushing down. with hidden cracks that don't show. but that constantly just grow. . i'm looking for the man that attacked me. while everybody was laughing at me. you beat it in me, that part of you. but i'm gonna split us back in two. tired of living in a cloud. if you're gonna say shit now, you'll do it out loud. . it's 2:45 in the morning. and i'm putting myself on warning. for waking up in an unknown place. with a recollection you've half erased. looking for somebody's arms. to wave away past harms. i'm walking out on center circle. the both of you can just fade to black. i'm walking out on center circle. been pushed away and i'll never go back",https://genius.com/Elliott-smith-2-45-am-lyrics,0.079,0.779,0.142,0.858,0.4685
Elliott Smith,Pictures of Me,Either/Or,1997,"start, stop and start. stupid acting smart. flirting with the flicks. you say, ""it's just for kicks."". you'll be the victim of your own dirty tricks. you got yourself to tease and displease. doors swinging wide. you walked in to hide. looking at your feet. failure's complete. saw you and me on the coin-op tv. frozen in fear every time we appear. . i'm not surprised at all and really, why should i be?. see nothing wrong. see nothing wrong. so sick and tired of all these pictures of me. completely wrong. totally wrong. . go walking by. here come another guy. jailer who sells personal hells. who'd like to see me down on my fucking knees. everybody's dying just to get the disease. . hey, hey, hey, hey. . i'm not surprised at all and really, why should i be?. see nothing wrong. see nothing wrong. so sick and tired of all these pictures of me. completely wrong. totally wrong. i'm not surprised at all and really, why should i be?. see nothing wrong. see nothing wrong. so sick and tired of all these pictures of me. . oh, everybody's dying just to get the disease. everybody's dying just to get the disease. everybody's dying just to get the disease",https://genius.com/Elliott-smith-pictures-of-me-lyrics,0.129,0.685,0.186,0.814,0.4715
Elliott Smith,Rose Parade,Either/Or,1997,"you asked me to come down and watch the parade. to march down the street like the duracell bunny. with a wink and a wave from the cavalcade. throwing out candy that looks like money. to people passing by that all seem to be going the other way. . said, ""won't you follow me down to the rose parade?"". . tripped over a dog in a choke-chain collar. people were shouting and pushing and saying. and i traded a smoke for a food stamp dollar. ridiculous marching band started playing. got me singing along with some half-hearted victory song. . won't you follow me down to the rose parade?. won't you follow me down to the rose parade?. won't you follow me down to the rose parade?. . the trumpeter's obviously been drinking. 'cause he's fucking up even the simplest lines. you say it's a sight that's quite worth seeing. it's just that everyone's interest is stronger than mine. when they clean the street, i'll be the only shit that's left behind. . won't you follow me down to the rose parade?. won't you follow me down to the rose parade?. won't you follow me down to the rose parade?",https://genius.com/Elliott-smith-rose-parade-lyrics,0.09,0.88,0.03,0.97,0.53
